R	1.014892e+00	5.543292e-01	4.892807e+00	1477010443050000	8.599968e-01	6.000449e-01	5.199747e+00	1.796856e-03	3.455661e-04	1.382155e-02
R	1.047505e+00	3.892401e-01	4.511325e+00	1477010443150000	1.379955e+00	6.006288e-01	5.198979e+00	1.077814e-02	2.073124e-03	2.763437e-02
R	1.698300e+00	2.982801e-01	5.209986e+00	1477010443250000	1.899823e+00	6.024697e-01	5.197661e+00	2.693234e-02	5.181582e-03	4.142974e-02
R	2.044382e+00	2.760018e-01	5.043867e+00	1477010443350000	2.419540e+00	6.062840e-01	5.195728e+00	5.023894e-02	9.668977e-03	5.519894e-02
R	2.990916e+00	2.176679e-01	5.191807e+00	1477010443450000	2.939043e+00	6.127858e-01	5.193090e+00	8.066803e-02	1.553247e-02	6.893328e-02
R	3.593878e+00	1.354522e-01	5.161753e+00	1477010443550000	3.458253e+00	6.226855e-01	5.189627e+00	1.181798e-01	2.276837e-02	8.262407e-02
R	4.255547e+00	1.648397e-01	5.433327e+00	1477010443650000	3.977082e+00	6.366893e-01	5.185194e+00	1.627238e-01	3.137210e-02	9.626268e-02
R	4.670263e+00	1.481801e-01	5.120847e+00	1477010443750000	4.495424e+00	6.554977e-01	5.179618e+00	2.142382e-01	4.133822e-02	1.098405e-01
R	5.251417e+00	1.271635e-01	4.825914e+00	1477010443850000	5.013155e+00	6.798044e-01	5.172700e+00	2.726487e-01	5.266044e-02	1.233489e-01
R	5.267293e+00	1.216834e-01	5.423506e+00	1477010443950000	5.530128e+00	7.102953e-01	5.164221e+00	3.378677e-01	6.533161e-02	1.367794e-01
R	5.905749e+00	6.329996e-02	4.879680e+00	1477010444050000	6.046176e+00	7.476465e-01	5.153933e+00	4.097925e-01	7.934372e-02	1.501236e-01
R	6.673922e+00	1.256145e-01	5.006870e+00	1477010444150000	6.561105e+00	7.925232e-01	5.141571e+00	4.883049e-01	9.468793e-02	1.633729e-01
R	7.318441e+00	8.629228e-02	4.649107e+00	1477010444250000	7.074691e+00	8.455782e-01	5.126847e+00	5.732691e-01	1.113545e-01	1.765190e-01
R	8.124935e+00	1.010471e-01	5.464240e+00	1477010444350000	7.586684e+00	9.074494e-01	5.109456e+00	6.645307e-01	1.293330e-01	1.895536e-01
R	8.450951e+00	1.048616e-01	4.750535e+00	1477010444450000	8.096800e+00	9.787585e-01	5.089074e+00	7.619151e-01	1.486120e-01	2.024685e-01
R	8.575491e+00	1.653115e-01	5.580596e+00	1477010444550000	8.604722e+00	1.060109e+00	5.065366e+00	8.652261e-01	1.691794e-01	2.152555e-01
R	9.946663e+00	1.150557e-01	5.240801e+00	1477010444650000	9.110101e+00	1.152082e+00	5.037982e+00	9.742446e-01	1.910221e-01	2.279066e-01
R	1.021600e+01	1.498099e-01	5.311647e+00	1477010444750000	9.612549e+00	1.255239e+00	5.006562e+00	1.088727e+00	2.141263e-01	2.404137e-01
R	1.067808e+01	1.623090e-01	4.806610e+00	1477010444850000	1.011165e+01	1.370112e+00	4.970739e+00	1.208405e+00	2.384776e-01	2.527689e-01
R	1.104064e+01	1.549056e-01	4.564011e+00	1477010444950000	1.060693e+01	1.497206e+00	4.930142e+00	1.332982e+00	2.640604e-01	2.649645e-01
R	1.156684e+01	1.238384e-01	5.142052e+00	1477010445050000	1.109790e+01	1.636997e+00	4.884396e+00	1.462135e+00	2.908586e-01	2.769928e-01
R	1.157909e+01	1.333215e-01	4.869483e+00	1477010445150000	1.158403e+01	1.789925e+00	4.833131e+00	1.595511e+00	3.188553e-01	2.888460e-01
R	1.232484e+01	1.752895e-01	5.277554e+00	1477010445250000	1.206475e+01	1.956393e+00	4.775977e+00	1.732729e+00	3.480329e-01	3.005169e-01
R	1.267093e+01	1.407283e-01	5.316736e+00	1477010445350000	1.253944e+01	2.136766e+00	4.712575e+00	1.873377e+00	3.783728e-01	3.119979e-01
R	1.348558e+01	1.988829e-01	5.446424e+00	1477010445450000	1.300747e+01	2.331365e+00	4.642576e+00	2.017013e+00	4.098559e-01	3.232819e-01
R	1.308715e+01	2.410651e-01	4.512749e+00	1477010445550000	1.346816e+01	2.540465e+00	4.565645e+00	2.163167e+00	4.424624e-01	3.343617e-01
R	1.409883e+01	1.955096e-01	4.806121e+00	1477010445650000	1.392079e+01	2.764295e+00	4.481466e+00	2.311336e+00	4.761716e-01	3.452302e-01
R	1.483710e+01	1.946756e-01	5.233370e+00	1477010445750000	1.436462e+01	3.003029e+00	4.389744e+00	2.460991e+00	5.109623e-01	3.558808e-01
R	1.520044e+01	2.635874e-01	5.157074e+00	1477010445850000	1.479890e+01	3.256787e+00	4.290211e+00	2.611572e+00	5.468125e-01	3.663065e-01
R	1.591832e+01	2.635980e-01	4.665886e+00	1477010445950000	1.522281e+01	3.525634e+00	4.182627e+00	2.762494e+00	5.836994e-01	3.765009e-01
R	1.608904e+01	2.135971e-01	4.785617e+00	1477010446050000	1.563555e+01	3.809572e+00	4.066782e+00	2.913146e+00	6.215999e-01	3.864575e-01
